"","Var1","Freq","percentage"
"248","g__Hebeloma",1,0
"249","g__Helicogloea",1,0
"250","g__Helicoma",50,0.14
"251","g__Helicosporium",2,0.01
"252","g__Hericium",1,0
"253","g__Heterobasidion",1,0
"254","g__Heterophoma",2,0.01
"255","g__Hirsutella",11,0.03
"256","g__Holocotylon",12,0.03
"257","g__Humicola",366,1.03
"258","g__Hyalopeziza",1,0
"259","g__Hyalorbilia",22,0.06
"260","g__Hydnomerulius",1,0
"261","g__Hydropisphaera",24,0.07
"262","g__Hymenoscyphus",21,0.06
"263","g__Hyphodiscus",12,0.03
"264","g__Hyphodontia",4,0.01
"265","g__Hypholoma",9,0.03
"266","g__Hypochnicium",1,0
"267","g__Hypocrea",1,0
"268","g__Hypomontagnella",6,0.02
"269","g__Hypomyces",5,0.01
"270","g__Hypoxylon",59,0.17
"271","g__Idriella",1,0
